k,dim1,dim2,dim3,tvd,mae,max,l1d,l2d,hellinger,jensen_shannon,dataset,synthesizer
k=1,age,age,age,0.03153024036689734,0.001236480014388131,0.0074526022685393704,0.06306048073379468,0.012376300118510635,0.03135368045671548,0.0009822013465389718,adult,mostly
k=1,workclass,workclass,workclass,0.01306252815200028,0.002612505630400056,0.012079767413291753,0.02612505630400056,0.01438937400855919,0.017460462851580833,0.00026071163662230246,adult,mostly
k=1,fnlwgt,fnlwgt,fnlwgt,0.03681257933745548,0.0007362515867491095,0.0025387985749969286,0.07362515867491096,0.009352018294825076,0.03293817072603373,0.0010844011907094905,adult,mostly
k=1,education,education,education,0.017239261291511408,0.002154907661438926,0.007411653904426524,0.034478522583022815,0.012520694722653007,0.01675963994507385,0.00028079271153170593,adult,mostly
k=1,education-num,education-num,education-num,0.017239261291511414,0.0024627516130730593,0.007411653904426524,0.03447852258302283,0.01257894822671512,0.016752815525563947,0.00028056280938641384,adult,mostly
k=1,marital-status,marital-status,marital-status,0.008353466279022136,0.002386704651149182,0.006469841529830881,0.01670693255804427,0.008164039980908587,0.015261286889871585,0.00023273197645324911,adult,mostly
k=1,occupation,occupation,occupation,0.022112116620940998,0.0029482822161254665,0.013799598706031702,0.044224233241881995,0.01834916254180384,0.021185697836580704,0.0004487256392415748,adult,mostly
k=1,relationship,relationship,relationship,0.011178903402809024,0.003726301134269675,0.005732770975799523,0.02235780680561805,0.010234633831467622,0.011104880667914844,0.00012329867747061404,adult,mostly
k=1,race,race,race,0.003603456041931147,0.0014413824167724587,0.002743540395561239,0.007206912083862294,0.0038967699122461515,0.007070369277659067,4.997601461418391e-05,adult,mostly
k=1,sex,sex,sex,0.0034396625854797303,0.0034396625854797303,0.0034396625854797858,0.0068793251709594605,0.00486441747837274,0.0025746855696417276,6.628994925808682e-06,adult,mostly
k=1,capital-gain,capital-gain,capital-gain,0.0036444044060439744,0.0008098676457875499,0.0015969862004012927,0.007288808812087949,0.002742012045826656,0.00933323966618974,8.708541302343003e-05,adult,mostly
k=1,capital-loss,capital-loss,capital-loss,0.0022931083903198384,0.0009172433561279354,0.0015969862004012944,0.004586216780639677,0.0022413385501665077,0.008396631625606298,7.04609143405603e-05,adult,mostly
k=1,hours-per-week,hours-per-week,hours-per-week,0.021006510789893962,0.0014487248820616526,0.005896564432250933,0.042013021579787924,0.011161415422040168,0.028031659166805292,0.0007846515277510349,adult,mostly
k=1,native-country,native-country,native-country,0.009786659022972058,0.0004551934429289329,0.0029482822161254647,0.019573318045944116,0.005020810490606328,0.025539786058079876,0.0006302091707926013,adult,mostly
k=1,income,income,income,0.008967691740714975,0.008967691740714975,0.00896769174071499,0.01793538348142995,0.012682231282900308,0.007381178242115437,5.448059522020947e-05,adult,mostly
k=2,age,workclass,workclass,0.033372916751975776,0.0008240226358512537,0.0070431186274108395,0.06674583350395155,0.013766447820777659,0.038075783758748795,0.0013851549888708092,adult,mostly
