file,dataset,TRAIN,GENERATE,overall,univariate,bivariate,overall_max,univariate_max,bivariate_max,cosine_similarity_training_synthetic,cosine_similarity_training_holdout,discriminator_auc_training_synthetic,discriminator_auc_training_holdout,ims_training,ims_holdout,dcr_training,dcr_holdout,dcr_share
adult_gretel-NavFT.csv,adult,238.4,0.6,0.883,0.911,0.855,0.988,0.993,0.983,0.99691,0.999986,0.771,0.502,0.0,0.0,0.235,0.235,
adult_gretel-TabularDP-e100,adult,1917.3,1337.9,0.943,0.973,0.913,0.988,0.993,0.983,0.99714,0.999986,0.945,0.505,0.0,0.0,0.25,0.249,
adult_mostlyai.csv.gz,adult,,,0.959,0.97,0.948,0.988,0.993,0.983,0.9997939,0.9999862,0.579,0.503,0.0,0.0,0.221,0.221,0.501
adult_mostlyai_DP_eps1.6_noise1.5.csv.gz,adult,,,0.924,0.948,0.899,0.988,0.993,0.983,0.9986888,0.9999861,0.709,0.504,0.0,0.0,0.248,0.247,0.499
adult_mostlyai_DP_eps10.9_noise0.75.csv.gz,adult,,,0.956,0.973,0.94,0.988,0.993,0.983,0.9998013,0.9999859,0.607,0.503,0.0,0.0,0.235,0.234,0.5
adult_mostlyai_DP_eps3.4_noise1.25.csv.gz,adult,,,0.944,0.964,0.925,0.988,0.993,0.983,0.9994743,0.9999861,0.655,0.504,0.0,0.0,0.241,0.241,0.498
adult_mostlyai_DP_eps4.3_noise1.csv.gz,adult,,,0.95,0.969,0.932,0.988,0.993,0.983,0.9997013,0.999986,0.629,0.5,0.0,0.0,0.239,0.238,0.495
adult_synthcity-arf.csv.gz,adult,628.9,79.9,0.855,0.897,0.813,0.988,0.993,0.983,0.9938763,0.999986,0.86,0.504,0.0,0.0,0.256,0.257,0.505
adult_synthcity-bayesian_network.csv.gz,adult,30.2,5.5,0.84,0.887,0.794,0.988,0.993,0.983,0.965809,0.9999859,0.966,0.504,0.0,0.0,0.239,0.255,0.557
adult_synthcity-ctgan.csv.gz,adult,1230.6,0.2,0.785,0.842,0.728,0.988,0.993,0.983,0.9568622,0.9999859,0.954,0.503,0.0,0.0,0.293,0.291,0.494
adult_synthcity-ddpm.csv.gz,adult,601.6,162.1,0.958,0.974,0.943,0.988,0.993,0.983,0.9996561,0.999986,0.64,0.502,0.0,0.0,0.232,0.232,0.498
adult_synthcity-nflow.csv.gz,adult,1304.5,14.0,0.711,0.78,0.642,0.988,0.993,0.983,0.9591057,0.9999859,0.972,0.504,0.0,0.0,0.325,0.325,0.498
bank-marketing_mostlyai.csv.gz,bank-marketing,,,0.97,0.978,0.962,0.988,0.993,0.983,0.9998378,0.9999891,0.548,0.493,0.0,0.0,0.279,0.279,0.499
bank-marketing_mostlyai_DP_eps2.9_noise1.5.csv.gz,bank-marketing,,,0.937,0.957,0.918,0.988,0.993,0.983,0.9988588,0.9999894,0.692,0.492,0.0,0.0,0.294,0.294,0.498
bank-marketing_mostlyai_DP_eps3.4_noise1.25.csv.gz,bank-marketing,,,0.948,0.964,0.931,0.988,0.993,0.983,0.9993757,0.9999893,0.646,0.493,0.0,0.0,0.292,0.292,0.501
bank-marketing_mostlyai_DP_eps5.0_noise1.csv.gz,bank-marketing,,,0.954,0.97,0.938,0.988,0.993,0.983,0.9993771,0.9999893,0.64,0.492,0.0,0.0,0.29,0.29,0.501
bank-marketing_mostlyai_DP_eps9.3_noise0.75.csv.gz,bank-marketing,,,0.957,0.971,0.943,0.988,0.993,0.983,0.9993403,0.9999893,0.615,0.492,0.0,0.0,0.288,0.289,0.503
bank-marketing_synthcity-arf.csv.gz,bank-marketing,339.4,95.7,0.908,0.934,0.881,0.988,0.993,0.983,0.995092,0.9999893,0.775,0.494,0.0,0.0,0.294,0.296,0.504
bank-marketing_synthcity-bayesian_network.csv.gz,bank-marketing,28.5,8.1,0.895,0.927,0.863,0.988,0.993,0.983,0.9914083,0.9999892,0.919,0.495,0.0,0.0,0.31,0.313,0.514
credit-default_mostlyai.csv.gz,credit-default,,,0.94,0.959,0.92,0.98,0.989,0.972,0.9968624,0.9999943,0.862,0.494,0.0,0.0,0.292,0.292,0.494
credit-default_mostlyai_DP_eps1.6_noise1.25.csv.gz,credit-default,,,0.839,0.91,0.767,0.98,0.989,0.972,0.9941463,0.9999943,0.925,0.494,0.0,0.0,0.3,0.3,0.499
