,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,49,entrepreneur,married,primary,no,-63,yes,no,unknown,14,may,416,2,-1,0,unknown,no
1,28,management,single,tertiary,no,637,yes,no,cellular,4,feb,324,1,-1,0,unknown,no
2,26,management,single,tertiary,no,1837,no,no,cellular,3,feb,417,2,-1,0,unknown,no
3,39,management,single,tertiary,no,30,yes,no,cellular,13,may,201,3,-1,0,unknown,no
4,49,admin.,married,secondary,no,512,yes,yes,unknown,14,may,455,3,-1,0,unknown,no
5,27,technician,married,secondary,no,876,yes,no,cellular,18,may,268,1,355,1,failure,no
6,45,technician,married,secondary,no,4639,no,no,unknown,6,jun,82,2,-1,0,unknown,no
7,41,technician,married,secondary,no,0,no,no,cellular,11,mar,101,1,-1,0,unknown,no
8,40,admin.,single,secondary,no,-186,yes,yes,cellular,11,jul,154,2,-1,0,unknown,no
9,51,blue-collar,married,primary,no,201,yes,no,cellular,17,jul,582,2,-1,0,unknown,yes
10,40,technician,married,secondary,no,372,yes,no,cellular,21,nov,365,1,100,2,failure,no
11,32,blue-collar,single,tertiary,no,700,no,no,unknown,13,nov,90,1,-1,0,unknown,yes
12,42,technician,married,secondary,no,769,no,no,unknown,5,jun,90,1,-1,0,unknown,no
13,33,admin.,single,secondary,no,894,no,no,cellular,5,feb,509,2,-1,0,unknown,no
14,36,admin.,married,secondary,no,-206,yes,no,cellular,2,feb,122,1,-1,0,unknown,no
15,30,management,single,secondary,no,308,yes,yes,unknown,2,jun,175,2,-1,0,unknown,no
16,28,technician,single,secondary,no,441,no,yes,cellular,9,jul,171,2,-1,0,unknown,no
17,41,blue-collar,married,secondary,no,2152,yes,no,cellular,17,nov,369,1,-1,0,unknown,no
18,58,management,divorced,tertiary,no,-71,no,no,unknown,27,may,114,1,-1,0,unknown,no
19,46,technician,married,secondary,no,0,no,no,cellular,30,jul,77,2,-1,0,unknown,no
20,42,management,married,tertiary,no,11093,no,no,cellular,2,feb,156,2,-1,0,unknown,no
21,39,technician,married,secondary,no,-735,yes,no,cellular,30,jan,144,5,248,2,failure,no
22,38,technician,married,secondary,no,6728,no,no,cellular,21,aug,252,4,-1,0,unknown,yes
23,44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no
24,35,technician,married,secondary,no,0,no,no,cellular,14,jul,460,3,-1,0,unknown,no
25,38,management,married,tertiary,no,1187,yes,yes,cellular,5,jun,76,2,123,1,failure,no
26,36,management,single,tertiary,no,6450,yes,no,unknown,29,may,101,1,-1,0,unknown,no
27,60,technician,married,secondary,no,0,no,no,cellular,25,may,641,4,-1,0,unknown,yes
28,46,services,married,secondary,no,2202,yes,no,cellular,29,jan,83,2,-1,0,unknown,no
29,38,retired,single,unknown,no,62,no,no,unknown,19,jun,212,1,-1,0,unknown,no
30,46,admin.,married,secondary,no,179,yes,no,cellular,29,jan,194,4,436,1,other,no
31,58,admin.,married,secondary,no,169,no,no,cellular,15,feb,216,1,91,4,success,yes
32,46,technician,divorced,secondary,no,129,no,no,unknown,25,jun,75,2,-1,0,unknown,no
33,26,admin.,married,secondary,no,3160,yes,no,unknown,27,may,154,1,-1,0,unknown,no
34,27,services,single,secondary,no,343,yes,no,cellular,20,apr,282,2,320,1,other,no
35,31,management,married,tertiary,no,11,yes,yes,cellular,20,aug,155,2,-1,0,unknown,no
36,29,self-employed,single,tertiary,no,871,yes,no,cellular,2,jun,310,1,-1,0,unknown,no
37,60,retired,married,secondary,no,1420,yes,yes,unknown,6,jun,39,4,-1,0,unknown,no
38,34,technician,married,tertiary,no,555,yes,no,cellular,7,aug,144,18,-1,0,unknown,no
39,48,entrepreneur,single,tertiary,no,2313,no,no,unknown,6,jun,130,1,-1,0,unknown,no
40,37,management,married,tertiary,no,1060,no,no,cellular,20,nov,125,3,-1,0,unknown,no
41,36,management,married,tertiary,no,406,no,no,cellular,14,aug,123,2,-1,0,unknown,no
42,31,management,married,tertiary,yes,0,no,no,cellular,14,jul,118,4,-1,0,unknown,no
43,45,blue-collar,married,secondary,no,0,yes,no,unknown,26,may,112,2,-1,0,unknown,no
44,64,unemployed,divorced,secondary,no,588,no,no,cellular,8,mar,409,1,-1,0,unknown,yes
45,38,unemployed,married,secondary,no,0,yes,yes,cellular,30,jan,437,1,-1,0,unknown,no
46,32,blue-collar,single,secondary,no,5252,yes,no,cellular,20,nov,232,2,183,2,failure,no
47,35,services,married,secondary,no,322,yes,yes,unknown,20,jun,590,4,-1,0,unknown,no
48,27,services,single,secondary,no,1820,yes,no,cellular,17,jul,1027,1,-1,0,unknown,yes
49,39,blue-collar,single,secondary,no,1961,no,no,unknown,21,may,216,1,-1,0,unknown,no
50,33,management,single,tertiary,no,289,yes,no,cellular,17,apr,388,1,-1,0,unknown,no
51,35,management,married,tertiary,no,-196,yes,no,cellular,22,jul,216,2,-1,0,unknown,no
52,59,blue-collar,married,secondary,no,16869,no,no,cellular,19,nov,107,1,-1,0,unknown,no
53,31,services,married,secondary,no,505,no,no,cellular,11,jul,773,3,-1,0,unknown,no
54,60,blue-collar,married,secondary,no,1130,no,no,cellular,14,jul,64,2,-1,0,unknown,no
55,53,management,married,tertiary,no,2094,no,yes,cellular,27,aug,95,6,-1,0,unknown,no
56,52,management,married,unknown,no,672,no,yes,cellular,17,nov,171,1,-1,0,unknown,no
57,37,management,single,tertiary,no,1517,no,yes,cellular,6,may,60,1,-1,0,unknown,no
58,34,services,married,secondary,no,0,yes,no,cellular,14,jul,78,4,-1,0,unknown,no
59,38,blue-collar,single,unknown,no,-933,yes,no,cellular,28,jul,149,11,-1,0,unknown,no
60,53,retired,divorced,secondary,no,797,no,no,unknown,20,jun,14,6,-1,0,unknown,no
61,66,retired,married,secondary,no,203,no,no,cellular,7,jul,376,1,-1,0,unknown,yes
62,46,technician,married,tertiary,no,342,yes,yes,cellular,5,may,84,1,-1,0,unknown,no
63,30,management,single,tertiary,no,872,yes,no,cellular,15,may,61,1,298,2,failure,no
64,47,services,married,primary,no,586,no,no,cellular,12,aug,68,2,-1,0,unknown,no
65,38,blue-collar,divorced,secondary,no,1817,yes,no,cellular,28,jul,1096,4,-1,0,unknown,yes
66,45,management,married,primary,no,4629,no,no,telephone,2,apr,285,2,-1,0,unknown,no
67,30,technician,single,secondary,no,1352,yes,no,cellular,13,may,321,4,-1,0,unknown,no
68,39,management,divorced,tertiary,no,1387,yes,no,cellular,14,aug,373,2,-1,0,unknown,no
69,30,self-employed,married,tertiary,no,2666,no,no,cellular,5,aug,475,2,93,4,success,yes
70,30,management,single,tertiary,no,640,no,no,cellular,6,feb,124,4,213,2,failure,no
