age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
21,Private,222507,HS-grad,9,Never-married,Other-service,Unmarried,White,Male,0,0,40,Honduras,<=50K
47,Local-gov,58500,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,41,United-States,>50K
37,Private,285170,HS-grad,9,Divorced,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
20,Private,311028,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
17,Private,297246,11th,7,Never-married,Transport-moving,Own-child,White,Male,0,0,20,United-States,<=50K
45,Private,185867,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
50,Private,420738,Bachelors,13,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,Mexico,<=50K
18,Private,173969,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,30,United-States,>50K
35,Local-gov,389065,Some-college,10,Separated,Adm-clerical,Not-in-family,White,Female,594,0,40,United-States,<=50K
22,Private,217441,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
35,Private,39002,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,40,United-States,>50K
32,Private,287015,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
41,Self-emp-not-inc,116620,Bachelors,13,Married-civ-spouse,Sales,Wife,Black,Female,0,0,32,United-States,<=50K
31,?,379418,Masters,14,Married-civ-spouse,?,Husband,Other,Male,0,0,40,Iran,<=50K
49,Private,104196,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
33,Local-gov,179031,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
59,Private,169475,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K
67,Private,110573,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
39,Private,181907,Assoc-acdm,12,Divorced,Protective-serv,Not-in-family,White,Female,0,0,54,United-States,<=50K
19,Private,39255,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K
39,Private,103977,Some-college,10,Divorced,Tech-support,Unmarried,White,Male,0,0,40,United-States,<=50K
24,Private,278120,Some-college,10,Divorced,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
32,Private,221433,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,>50K
26,Federal-gov,135554,HS-grad,9,Never-married,Protective-serv,Own-child,White,Male,0,0,40,United-States,<=50K
38,Local-gov,226524,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,60,United-States,>50K
56,Private,32959,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,United-States,<=50K
38,Private,220607,Bachelors,13,Married-spouse-absent,Other-service,Not-in-family,White,Male,0,0,30,United-States,>50K
33,State-gov,348378,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
72,?,125298,HS-grad,9,Widowed,?,Not-in-family,Black,Female,0,0,22,United-States,<=50K
38,Private,224224,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,4386,0,35,United-States,>50K
38,Private,170146,Masters,14,Widowed,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,<=50K
33,Self-emp-inc,128145,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
32,Private,164781,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
47,Private,240827,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,>50K
28,Local-gov,205378,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
23,Local-gov,151451,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,25,United-States,<=50K
28,Private,191524,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
63,?,105345,HS-grad,9,Divorced,?,Not-in-family,White,Female,0,0,40,Canada,<=50K
49,Private,308920,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,65,United-States,>50K
35,Private,115540,HS-grad,9,Married-civ-spouse,Tech-support,Own-child,White,Male,0,0,40,United-States,>50K
54,Local-gov,115145,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,20,United-States,<=50K
34,Private,209982,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
61,Private,122171,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,Hungary,>50K
29,Private,147814,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
46,Private,186851,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
63,Self-emp-not-inc,73837,HS-grad,9,Widowed,Machine-op-inspct,Other-relative,White,Female,0,0,17,United-States,<=50K
40,Private,417285,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
21,Private,100599,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
49,Private,211037,HS-grad,9,Widowed,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
34,Private,191194,1st-4th,2,Never-married,Other-service,Not-in-family,White,Female,0,0,38,Dominican-Republic,<=50K
28,Self-emp-not-inc,167032,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
34,Private,496246,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,1876,42,United-States,<=50K
53,Private,118305,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,South,>50K
30,Private,97754,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,0,0,35,United-States,<=50K
54,Private,212449,Bachelors,13,Widowed,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,<=50K
45,Self-emp-not-inc,78597,HS-grad,9,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,42,Philippines,<=50K
39,Private,36566,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,<=50K
81,Federal-gov,160175,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,20,United-States,>50K
39,State-gov,199647,11th,7,Never-married,Other-service,Not-in-family,Black,Male,0,0,40,United-States,<=50K
42,Private,110382,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,70,United-States,<=50K
22,Private,89348,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,10,United-States,<=50K
21,Private,136540,Some-college,10,Never-married,Protective-serv,Own-child,Other,Female,0,0,40,United-States,<=50K
42,Private,158910,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
42,Private,171385,Some-college,10,Divorced,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
20,Private,248832,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
21,Private,155271,Some-college,10,Never-married,Sales,Unmarried,White,Female,0,0,45,United-States,<=50K
18,Private,34891,11th,7,Never-married,Sales,Own-child,White,Female,0,0,23,United-States,<=50K
30,Private,111588,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1848,40,Germany,>50K
42,Private,216200,10th,6,Separated,Handlers-cleaners,Unmarried,Black,Male,0,0,40,United-States,<=50K
28,Private,98534,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,50,Philippines,<=50K
59,Private,183554,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
63,Self-emp-not-inc,69697,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,Canada,>50K
53,Private,134133,10th,6,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States,<=50K
25,Private,157546,Bachelors,13,Never-married,Tech-support,Other-relative,White,Female,0,0,25,United-States,<=50K
27,Private,157585,11th,7,Never-married,Transport-moving,Unmarried,White,Male,0,0,16,El-Salvador,<=50K
36,Private,54767,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,4064,0,40,United-States,<=50K
28,Private,84641,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K
43,Self-emp-not-inc,123188,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,4386,0,40,United-States,>50K
40,Self-emp-not-inc,27236,HS-grad,9,Separated,Sales,Not-in-family,White,Male,0,0,60,United-States,<=50K
21,State-gov,108524,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,25,United-States,<=50K
57,Private,157016,Preschool,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Poland,<=50K
19,Private,38108,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
57,Self-emp-not-inc,185073,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States,<=50K
62,Private,271911,10th,6,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,82,United-States,<=50K
64,Private,156885,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,16,?,<=50K
25,Private,279057,Assoc-voc,11,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,<=50K
18,Private,169809,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,32,United-States,<=50K
17,?,89273,12th,8,Never-married,?,Own-child,White,Female,0,0,15,United-States,<=50K
25,Private,92180,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K
30,Private,267488,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,United-States,>50K
26,Private,177573,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
65,?,200857,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,7,United-States,<=50K
40,Self-emp-not-inc,178977,Prof-school,15,Divorced,Prof-specialty,Unmarried,White,Female,2207,0,50,United-States,<=50K
53,Self-emp-inc,92181,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,15024,0,60,United-States,>50K
23,Local-gov,221169,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
35,Private,367109,5th-6th,3,Never-married,Handlers-cleaners,Not-in-family,Black,Male,2325,0,30,United-States,<=50K
22,Private,308692,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,Local-gov,216771,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,342721,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,35,United-States,<=50K
29,Self-emp-not-inc,141809,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
44,Private,282053,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
