age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
35,management,married,unknown,no,69,no,no,cellular,11,aug,147,1,-1,0,unknown,no
37,management,married,tertiary,no,544,yes,no,cellular,29,aug,154,3,-1,0,unknown,no
33,blue-collar,married,secondary,no,1116,no,no,unknown,7,sep,126,3,-1,0,unknown,no
27,management,single,tertiary,no,114,yes,no,cellular,28,may,176,1,585,2,failure,no
35,admin.,married,secondary,no,3586,yes,no,cellular,9,jul,82,5,-1,0,unknown,no
27,technician,single,secondary,no,2051,no,no,cellular,21,aug,377,15,-1,0,unknown,no
68,retired,married,primary,no,2935,no,no,telephone,28,oct,641,1,-1,0,unknown,no
36,admin.,married,secondary,no,851,no,no,cellular,13,jan,366,2,258,0,success,no
30,housemaid,single,tertiary,no,1498,no,no,unknown,19,nov,1,1,-1,0,unknown,no
30,blue-collar,married,primary,no,974,yes,no,unknown,15,may,269,1,-1,0,unknown,no
38,admin.,married,secondary,no,681,yes,no,unknown,28,may,246,1,-1,0,unknown,no
32,blue-collar,single,secondary,no,3583,no,no,cellular,20,aug,135,1,-1,0,unknown,yes
61,blue-collar,married,primary,no,499,no,no,cellular,29,may,73,7,-1,0,unknown,no
36,technician,married,secondary,no,2564,yes,no,cellular,21,aug,121,5,-1,0,unknown,no
28,management,single,tertiary,no,786,yes,no,unknown,5,may,44,1,-1,0,unknown,no
37,retired,married,secondary,no,2720,no,yes,cellular,31,mar,672,1,-1,0,unknown,yes
31,technician,single,secondary,no,-610,yes,yes,cellular,30,jan,81,2,-1,0,unknown,no
36,admin.,divorced,secondary,no,143,yes,yes,cellular,5,may,344,2,259,5,other,no
40,blue-collar,married,primary,no,2149,yes,no,telephone,29,may,81,3,-1,0,unknown,no
50,admin.,married,secondary,no,1421,yes,no,unknown,21,jun,329,2,-1,0,unknown,no
32,management,single,tertiary,no,3241,yes,no,cellular,9,may,297,12,-1,0,unknown,no
57,admin.,divorced,secondary,no,2101,no,yes,cellular,8,jul,110,1,-1,0,unknown,no
57,blue-collar,married,secondary,no,600,yes,yes,unknown,16,may,276,1,-1,0,unknown,no
64,blue-collar,married,secondary,no,593,yes,yes,cellular,29,jan,169,1,-1,0,unknown,no
43,blue-collar,married,primary,no,1241,yes,no,cellular,29,may,48,3,330,2,other,no
33,admin.,married,secondary,no,2922,yes,no,cellular,6,feb,250,2,276,2,other,no
53,retired,married,primary,no,657,no,no,telephone,28,may,139,1,-1,0,unknown,no
58,admin.,married,secondary,no,6189,no,no,cellular,21,apr,470,1,-1,0,unknown,no
33,blue-collar,single,secondary,no,-69,no,no,unknown,5,may,199,1,-1,0,unknown,no
28,admin.,single,secondary,no,90,yes,no,unknown,15,may,710,5,-1,0,unknown,no
31,blue-collar,single,secondary,no,698,no,no,cellular,7,may,161,1,345,2,unknown,no
42,blue-collar,married,secondary,no,110,yes,no,cellular,30,aug,1550,1,-1,0,unknown,no
32,admin.,married,secondary,no,143,yes,no,cellular,29,jul,204,2,-1,0,unknown,no
37,management,married,tertiary,no,1317,yes,no,unknown,30,may,276,2,-1,0,unknown,no
33,services,married,secondary,no,4660,no,no,unknown,21,nov,141,1,-1,0,unknown,no
58,blue-collar,married,primary,no,1771,yes,no,cellular,31,jul,419,1,-1,0,unknown,no
55,admin.,married,secondary,no,5002,yes,no,unknown,22,jun,157,2,-1,0,unknown,no
41,housemaid,married,tertiary,no,1978,yes,no,cellular,30,may,331,1,-1,0,unknown,no
26,management,single,tertiary,no,1400,no,no,cellular,6,jun,292,1,96,2,success,no
60,blue-collar,married,primary,no,1246,no,no,unknown,1,jun,253,1,-1,0,unknown,no
29,technician,single,secondary,no,119,no,no,cellular,28,aug,588,2,-1,0,unknown,yes
55,admin.,divorced,secondary,no,451,yes,no,cellular,9,aug,165,1,-1,0,unknown,no
38,admin.,married,secondary,no,203,yes,no,cellular,20,apr,328,2,343,2,failure,no
32,management,single,tertiary,no,6454,yes,no,cellular,30,apr,212,3,464,3,failure,no
50,services,married,secondary,no,750,yes,no,cellular,29,may,189,2,107,2,failure,no
57,housemaid,married,primary,no,9596,no,no,cellular,21,jan,24,2,-1,0,unknown,no
49,blue-collar,married,secondary,no,1731,yes,no,cellular,30,jul,175,1,339,2,failure,no
25,self-employed,single,primary,yes,1223,no,no,telephone,29,jan,458,4,-1,0,unknown,no
33,management,married,tertiary,yes,3957,no,no,unknown,21,may,20,1,-1,0,unknown,no
53,housemaid,single,secondary,no,213,no,no,cellular,20,aug,79,1,0,0,unknown,no
22,student,single,tertiary,no,471,no,no,cellular,3,mar,56,1,-1,0,unknown,no
46,management,married,tertiary,no,1882,no,no,unknown,28,apr,197,3,-1,0,unknown,no
51,management,married,tertiary,no,157,no,no,cellular,2,apr,95,5,181,4,other,no
43,blue-collar,married,secondary,no,937,yes,no,cellular,29,may,896,2,-1,0,unknown,yes
30,blue-collar,single,secondary,no,546,no,no,unknown,21,may,81,3,-1,0,unknown,no
61,housemaid,married,primary,no,3704,no,no,telephone,30,mar,122,1,-1,0,unknown,yes
53,management,married,tertiary,no,2427,yes,yes,cellular,30,apr,65,1,-1,0,unknown,no
36,admin.,married,primary,no,3066,no,no,cellular,18,nov,60,2,184,2,failure,no
59,technician,divorced,secondary,yes,14,no,no,cellular,13,aug,2,7,-1,0,unknown,no
36,admin.,married,secondary,no,-19,yes,yes,unknown,5,jun,126,4,-1,0,unknown,no
37,housemaid,divorced,tertiary,no,1252,no,no,unknown,15,may,95,2,-1,0,unknown,no
43,blue-collar,single,secondary,no,2996,yes,no,telephone,11,may,20,1,-1,0,unknown,no
53,management,married,tertiary,no,2065,yes,no,cellular,29,jan,287,1,184,0,unknown,no
45,management,single,secondary,no,755,yes,no,cellular,20,may,81,2,174,3,failure,no
43,blue-collar,married,secondary,no,7768,no,no,unknown,19,jun,234,1,-1,0,unknown,no
26,student,single,tertiary,no,502,no,no,unknown,9,jan,100,1,-1,0,unknown,no
32,management,divorced,tertiary,no,911,yes,yes,unknown,14,jul,998,1,495,2,other,no
37,admin.,married,secondary,no,830,no,no,cellular,16,aug,92,2,108,1,other,no
49,blue-collar,married,unknown,no,1612,yes,no,cellular,4,may,288,1,345,0,failure,no
53,technician,married,tertiary,no,2015,no,no,cellular,3,sep,273,1,183,3,success,yes
38,management,divorced,tertiary,no,33,no,no,cellular,15,may,79,3,-1,0,unknown,no
28,services,single,secondary,no,-59,no,no,cellular,5,feb,105,1,-1,0,unknown,no
53,management,divorced,tertiary,no,49,yes,no,cellular,21,jul,180,1,-1,3,failure,no
37,services,single,secondary,no,267,yes,no,unknown,10,may,258,3,0,0,unknown,no
53,services,married,secondary,no,113,yes,yes,cellular,19,jul,838,1,-1,0,unknown,no
36,management,divorced,tertiary,no,1991,no,no,cellular,21,nov,289,5,173,3,other,no
84,retired,divorced,secondary,no,365,no,no,unknown,27,may,93,1,-1,0,unknown,no
38,blue-collar,married,tertiary,yes,2744,yes,yes,unknown,21,jun,329,1,-1,0,unknown,no
45,admin.,married,secondary,no,1230,yes,no,unknown,26,may,620,2,-1,0,unknown,no
29,blue-collar,single,primary,no,5102,no,no,unknown,30,jun,166,1,-1,0,unknown,no
52,management,divorced,secondary,yes,-10,yes,no,unknown,15,may,176,2,-1,0,unknown,no
45,admin.,divorced,tertiary,no,689,no,no,cellular,15,may,1408,1,-1,0,success,yes
50,management,single,tertiary,no,869,yes,no,cellular,19,nov,149,1,-1,0,unknown,no
47,unemployed,single,tertiary,no,4868,no,no,unknown,1,jun,0,1,-1,0,unknown,no
36,management,single,tertiary,no,4263,no,no,cellular,21,nov,193,3,-1,0,unknown,no
36,management,married,tertiary,no,718,yes,no,cellular,30,jul,464,10,-1,0,unknown,no
44,admin.,married,tertiary,no,248,yes,no,cellular,7,may,503,1,-1,0,unknown,no
32,admin.,married,secondary,no,163,no,no,cellular,17,jul,678,1,-1,0,unknown,no
57,blue-collar,single,primary,no,260,yes,no,cellular,21,oct,218,1,261,0,unknown,no
39,housemaid,married,secondary,no,1316,no,yes,cellular,29,jan,141,2,-1,0,unknown,no
30,services,single,primary,no,2100,yes,no,cellular,23,jun,147,1,-1,0,unknown,no
35,admin.,single,tertiary,no,377,yes,no,unknown,7,may,156,2,-1,0,unknown,no
30,management,single,unknown,yes,259,no,no,unknown,6,may,341,2,-1,0,unknown,no
34,self-employed,single,secondary,no,2204,yes,no,cellular,22,nov,32,4,0,0,unknown,no
28,admin.,single,secondary,no,6005,yes,no,cellular,3,may,130,1,347,1,success,no
28,self-employed,married,secondary,no,2373,no,yes,cellular,12,jul,93,2,-1,0,unknown,yes
65,student,single,unknown,no,2652,no,no,cellular,8,oct,214,1,171,1,success,yes
31,admin.,divorced,secondary,no,488,no,yes,cellular,29,jul,482,2,-1,0,unknown,no
29,admin.,divorced,secondary,no,1845,no,no,cellular,16,may,75,2,-1,2,unknown,no
33,unemployed,married,secondary,no,3087,yes,no,unknown,21,jun,231,1,-1,0,unknown,no
50,admin.,married,secondary,no,15,no,no,unknown,22,aug,89,2,-1,0,unknown,no
61,management,married,tertiary,no,1128,yes,no,unknown,8,may,76,3,265,1,failure,yes
48,admin.,married,primary,no,473,yes,yes,unknown,28,may,81,5,-1,0,unknown,no
56,retired,married,secondary,no,1651,no,no,cellular,28,jan,53,1,-1,0,unknown,no
58,housemaid,married,primary,no,64,no,yes,telephone,31,jan,0,5,-1,0,unknown,no
27,blue-collar,single,secondary,no,135,yes,no,unknown,20,may,105,1,-1,0,unknown,no
35,self-employed,married,tertiary,no,3233,yes,no,cellular,18,may,1213,3,-1,0,unknown,yes
39,technician,single,secondary,yes,-129,yes,yes,cellular,21,may,213,1,-1,0,unknown,no
54,technician,married,secondary,yes,-32,yes,yes,cellular,29,may,708,2,-1,0,unknown,no
35,technician,divorced,tertiary,no,-229,yes,no,cellular,2,aug,41,2,-1,0,unknown,no
58,admin.,married,secondary,no,436,yes,yes,cellular,29,jul,142,1,-1,0,unknown,no
36,student,single,secondary,no,2836,yes,no,cellular,20,may,40,5,268,5,other,no
51,management,married,tertiary,no,871,no,no,cellular,5,mar,681,1,-1,0,unknown,no
28,management,single,tertiary,no,-7,no,no,unknown,20,jun,63,1,-1,0,unknown,no
34,blue-collar,single,secondary,no,606,yes,no,unknown,2,jun,124,1,-1,0,unknown,no
27,management,single,tertiary,no,-252,no,no,cellular,27,feb,215,1,279,7,failure,no
